issue_type,severity,Reduced Composition,IDs,details
same_formula_multiple_records,resolved,Li6.2La3Zr1.2Ta0.8O12,gdr|caltech_icsd_22959,2 records; log10 span=0.259; kept caltech_icsd_22959
same_formula_multiple_records,resolved,Li6.4La3Zr1.4Ta0.6O12,kji|caltech_icsd_22958,2 records; log10 span=0.011; kept kji
same_formula_multiple_records,resolved,Li6.5La3Zr1.5Ta0.5O12,caltech_icsd_894|caltech_icsd_22957|caltech_icsd_25446|caltech_icsd_135340|caltech_icsd_183686|liverpool_46_0035|liverpool_800_0669,7 records; log10 span=0.278; kept caltech_icsd_25446
same_formula_multiple_records,resolved,Li6.6La3Zr1.6Ta0.4O12,zqx|2wb|z53|caltech_icsd_22956,4 records; log10 span=0.546; kept caltech_icsd_22956
same_formula_multiple_records,resolved,Li6.75La3Zr1.75Ta0.25O12,7w5|4vd,2 records; log10 span=0.140; kept 7w5
same_formula_multiple_records,resolved,Li6.7La3Zr1.7Ta0.3O12,e6a|caltech_icsd_885|liverpool_802_0671,3 records; log10 span=0.310; kept liverpool_802_0671
same_formula_multiple_records,resolved,Li6.8La3Zr1.8Ta0.2O12,o5q|v1q|caltech_icsd_22955,3 records; log10 span=0.416; kept v1q
same_formula_multiple_records,resolved,Li6CaLa2Nb2O12,uaz|gcj,2 records; log10 span=0.080; kept uaz
same_formula_multiple_records,resolved,Li6CaLa2Ta2O12,jej|l9r,2 records; log10 span=0.000; kept jej
same_formula_multiple_records,resolved,Li6La3ZrTaO12,0ew|6hq,2 records; log10 span=0.340; kept 6hq
same_formula_multiple_records,resolved,Li6PS5Cl,caltech_icsd_131109|caltech_icsd_133976|caltech_icsd_259200|liverpool_499_0415,4 records; log10 span=0.802; kept caltech_icsd_133976
same_formula_multiple_records,resolved,Li7P3S11,mdp|ptg|liverpool_717_0599,3 records; log10 span=0.998; kept liverpool_717_0599
conflicting_normalized_family,resolved_by_preferred_family,Li7P3S11,mdp|ptg|liverpool_717_0599,thio_lisicon|thio_phosphate; selected_family=thio_lisicon
same_formula_multiple_records,resolved,LiNbCl4O,v02|trv1_0078,2 records; log10 span=0.318; kept v02
same_formula_multiple_records,resolved,LiTaCl4O,v01|trv1_0124,2 records; log10 span=0.093; kept v01
same_formula_multiple_records,resolved,SrLi6La2Nb2O12,cjq|20k,2 records; log10 span=0.056; kept cjq
same_formula_multiple_records,resolved,SrLi6La2Ta2O12,ps0|gyw|zxr,3 records; log10 span=0.222; kept ps0
