ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID,removed_reason
caltech_icsd_36124,LiScO2,,Li1 Sc1 O2,2.74e-17,,,,,,,,,,,unknown,10.1016/0167-2738(81)90021-7,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=426,,,36124,,,conflicting formula: log10 conductivity span 6.562 > 1; kept highest conductivity row sg0
caltech_icsd_36778,Li1.3Ti1.7Al0.3P3O12,,Li1.3 Ti1.7 Al0.3 P3 O12,0.00045838,,,,,,,,,,,unknown,10.1016/j.ensm.2021.10.003,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,36778,,,conflicting formula: log10 conductivity span 4.076 > 1; kept highest conductivity row liverpool_26_0020
caltech_icsd_36779,Li1.5Al0.5Ge1.5P3O12,,Li1.5 Al0.5 Ge1.5 P3 O12,0.0004,,,,,,,,,,,unknown,10.1111/j.1551-2916.2007.01827.x,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,36779,,,conflicting formula: log10 conductivity span 1.521 > 1; kept highest conductivity row liverpool_892_0750
caltech_icsd_69763,LiGe2(PO4)3,,Li1 Ge2 P3 O12,4.83e-09,,,,,,,,,,,unknown,10.1021/acsami.8b00842,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,69763,,,conflicting formula: log10 conductivity span 2.316 > 1; kept highest conductivity row liverpool_250_0209
caltech_icsd_91810,Li0.5La0.5Ti1O3,,Li0.5 La0.5 Ti1 O3,0.000309847,,,,,,,,,,,unknown,10.1557/proc-575-337,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,91810,,,conflicting formula: log10 conductivity span 2.237 > 1; kept highest conductivity row caltech_icsd_165472
caltech_icsd_95979,LiTi2(PO4)3,,Li1 Ti2 P3 O12,7.61e-06,,,,,,,,,,,unknown,10.1021/acs.inorgchem.6b02274,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,95979,,,conflicting formula: log10 conductivity span 2.274 > 1; kept highest conductivity row liverpool_313_0250
caltech_icsd_111758,Li4SnSe4,,Li4 Sn1 Se4,4.79e-08,,,,,,,,,,,unknown,10.1021/acs.chemmater.0c04150,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,111758,,,conflicting formula: log10 conductivity span 2.621 > 1; kept highest conductivity row caltech_icsd_193768
caltech_icsd_120969,Li2HClO,,Li2 H1 Cl1 O1,6.77e-09,,,,,,,,,,,unknown,10.1016/j.jssc.2020.121263,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,120969,,,conflicting formula: log10 conductivity span 2.455 > 1; kept highest conductivity row trv1_0014
caltech_icsd_122370,Li6PS5Br,,Li6 P1 S5 Br1,0.00023,,,,,,,,,,,unknown,10.1021/acs.chemmater.1c01170,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,122370,,,conflicting formula: log10 conductivity span 2.060 > 1; kept highest conductivity row caltech_icsd_267193
caltech_icsd_130197,Li4SnS4,,Li4 Sn1 S4,1.43e-06,,,,,,,,,,,unknown,10.1021/acs.chemmater.9b01059,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,130197,,,conflicting formula: log10 conductivity span 1.690 > 1; kept highest conductivity row kmv
caltech_icsd_133005,Li6PS5Br,,Li6 P1 S5 Br1,0.00153,,,,,,,,,,,unknown,10.1021/acs.chemmater.9b03852,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,133005,,,conflicting formula: log10 conductivity span 2.060 > 1; kept highest conductivity row caltech_icsd_267193
caltech_icsd_154400,Li5La3Ta2O12,,Li5 La3 Ta2 O12,1.2e-06,,,,,,,,,,,garnet,10.1111/j.1151-2916.2003.tb03318.x,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=313,,,154400,,,conflicting formula: log10 conductivity span 1.138 > 1; kept highest conductivity row caltech_icsd_259001
caltech_icsd_183684,Li7La3Zr2O12,,Li7 La3 Zr2 O12,1.63e-06,,,,,,,,,,,garnet,10.1016/j.jssc.2009.05.020,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,183684,,,conflicting formula: log10 conductivity span 2.543 > 1; kept highest conductivity row caltech_icsd_422259
caltech_icsd_184230,Li7La3Zr2O12,,Li7 La3 Zr2 O12,2.85e-06,,,,,,,,,,,unknown,10.1016/j.materresbull.2012.01.027,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,184230,,,conflicting formula: log10 conductivity span 2.543 > 1; kept highest conductivity row caltech_icsd_422259
caltech_icsd_192496,Li2B3PO8,,Li2 B3 P1 O8,5.17e-15,,,,,,,,,,,unknown,10.1039/c4dt01670j,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=618,,,192496,,,conflicting formula: log10 conductivity span 11.003 > 1; kept highest conductivity row caltech_icsd_193168
caltech_icsd_234584,Li6PS5Br,,Li6 P1 S5 Br1,0.000701,,,,,,,,,,,argyrodites,10.1039/c7ta08581h,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,234584,,,conflicting formula: log10 conductivity span 2.060 > 1; kept highest conductivity row caltech_icsd_267193
caltech_icsd_238687,Li7La3Zr2O12,,Li7 La3 Zr2 O12,9.9e-06,,,,,,,,,,,unknown,10.1016/j.ssi.2013.09.008,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,238687,,,conflicting formula: log10 conductivity span 2.543 > 1; kept highest conductivity row caltech_icsd_422259
caltech_icsd_239303,Li3VO4,,Li3 V1 O4,4.37e-18,,,,,,,,,,,unknown,10.1039/c5ta07823g,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=636,,,239303,,,conflicting formula: log10 conductivity span 11.582 > 1; kept highest conductivity row liverpool_716_0598
caltech_icsd_254044,Li0.5La0.5Ti1O3,,Li0.5 La0.5 Ti1 O3,0.000626,,,,,,,,,,,unknown,10.1016/j.jallcom.2017.05.278,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,254044,,,conflicting formula: log10 conductivity span 2.237 > 1; kept highest conductivity row caltech_icsd_165472
