trial,state,mae_mean,mae_std,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_lambda,param_reg_alpha,param_max_depth
131,PRUNED,0.5793130428086383,,1300,0.021507184348278287,46,5,0.5240076628957098,0.8324563673543253,0.011152648625981513,2.10191910400478e-05,7
132,PRUNED,0.4948693696809201,,700,0.016085916552118988,48,7,0.5077859506020362,0.7865278386056911,0.7611209469311168,7.680172229642979e-05,6
133,PRUNED,0.5716772467889757,,1000,0.01844830504984568,45,9,0.5391949081243145,0.982690259353484,0.269193667131295,0.00021336209217321343,8
134,PRUNED,0.5898872112008673,,800,0.01953402573789638,29,6,0.5681647032813658,0.8489202022533229,0.35686094465580837,3.697953062651539e-08,5
135,PRUNED,0.5933647145690399,,1300,0.022957489324871856,41,8,0.701672568012462,0.7974982221525595,1.1546438346555914,4.290161358034048e-05,8
136,PRUNED,0.5589672328013695,,500,0.02073680487266506,15,10,0.7223908264903959,0.9529631708049302,0.001980380086724086,3.6225005810532347e-06,4
137,PRUNED,0.5767691154325412,,600,0.02750201295223997,38,5,0.7863391960337961,0.9191138166401791,0.13102683412218566,0.000139082862304627,8
138,COMPLETE,0.4892757220786935,0.06715862664521842,2200,0.015499960422933223,36,7,0.7536952647093857,0.4969031651447013,2.6988938367864366,0.00032107291877461123,10
139,PRUNED,0.5204184778638965,,700,0.015337229487738342,36,9,0.7716236351850443,0.5279474926404424,5.102718895481585,0.0003956036378124007,10
140,COMPLETE,0.49117603088387984,0.06542336787521505,2200,0.012013550598100912,34,7,0.7494051837583693,0.44615387128870865,0.03454239743377112,1.5916090021431852e-05,10
141,PRUNED,0.579597543911915,,2200,0.014048063566405384,33,7,0.7593467865271957,0.46198240462230983,0.03532976008161522,1.879836572127017e-05,10
142,PRUNED,0.571515405139781,,2400,0.01170042703958021,35,6,0.7484933037007092,0.4495068870064511,2.9583446561337254,8.26469817061543e-06,-1
143,PRUNED,0.5759176919168167,,2100,0.01284414854019027,32,8,0.7399685795713697,0.4032853809564856,0.05801904443622002,1.2964698975496298e-05,10
